Epoch	Accuracy	Loss
1	0.502	0.897
2	0.504	0.897
3	0.504	0.894
4	0.504	0.892
5	0.508	0.888
6	0.509	0.885
7	0.510	0.884
8	0.514	0.883
9	0.514	0.882
10	0.515	0.879
11	0.517	0.875
12	0.517	0.871
13	0.522	0.870
14	0.525	0.866
15	0.529	0.864
16	0.530	0.859
17	0.531	0.854
18	0.534	0.853
19	0.534	0.852
20	0.539	0.852
21	0.542	0.851
22	0.546	0.849
23	0.548	0.848
24	0.549	0.845
25	0.550	0.845
26	0.554	0.843
27	0.557	0.840
28	0.558	0.840
29	0.558	0.837
30	0.561	0.834
31	0.563	0.833
32	0.568	0.829
33	0.568	0.827
34	0.571	0.827
35	0.573	0.824
36	0.575	0.820
37	0.576	0.819
38	0.580	0.818
39	0.584	0.813
40	0.585	0.811
41	0.589	0.811
42	0.591	0.806
43	0.593	0.805
44	0.598	0.801
45	0.600	0.800
46	0.604	0.799
47	0.605	0.798
48	0.609	0.795
49	0.610	0.794
50	0.613	0.791
51	0.616	0.790
52	0.618	0.788
53	0.623	0.784
54	0.627	0.780
55	0.627	0.777
56	0.629	0.775
57	0.631	0.773
58	0.631	0.773
59	0.634	0.772
60	0.634	0.769
61	0.635	0.765
62	0.639	0.761
63	0.642	0.759
64	0.643	0.754
65	0.645	0.751
66	0.648	0.750
67	0.649	0.747
68	0.650	0.743
69	0.654	0.739
70	0.657	0.737
71	0.661	0.734
72	0.664	0.730
73	0.666	0.726
74	0.668	0.725
75	0.671	0.721
76	0.675	0.717
77	0.680	0.713
78	0.681	0.713
79	0.684	0.711
80	0.687	0.707
81	0.691	0.703
82	0.692	0.702
83	0.692	0.699
84	0.694	0.697
85	0.696	0.694
86	0.696	0.693
87	0.697	0.688
88	0.700	0.687
89	0.704	0.684
90	0.707	0.680
91	0.711	0.678
92	0.712	0.674
93	0.715	0.670
94	0.718	0.668
95	0.719	0.664
96	0.719	0.663
97	0.723	0.662
98	0.725	0.659
99	0.728	0.658
100	0.730	0.657
